English_Sentence,Hindi_Sentence,Word_Count_English,Word_Count_Hindi,WC_Difference,Char_Count_English,Char_Count_Hindi,CC_Difference
यह हिंदी बोलने वालों की भाषा के ज्ञान का भी हिस्सा है कि लिंग मनमाने ढंग से संज्ञाओं को असाइन (assign) किया जाता है।,इस आयोजन में विश्व के 110 देशों के 1400 प्रतिनिधि और 2000 भारतीय प्रतिनिधि शामिल होंगे।,24,16,8,116,87,29
"खाद्य तथा ऊर्जा सुरक्षा तथा प्राकृतिक संसाधनों का सतत् प्रयोग, सतत् विकास की हमारी कार्ययोजना का महत्त्वपूर्ण भाग होना चाहिए।","सिन्हा ने कहा, लगता है कि उनके लिए कई तरह के नियम बनाने होंगे क्योंकि उनका विशिष्ट कारोबारी मॉडल है।",20,20,0,125,100,25
क्या आप इस तर्क को न्यायपालिका पर लागू करना चाहते हैं?,"इस फिल्म में करीना कपूर, दिलजीत दोसांज और कियारा आडवाणी भी महत्वपूर्ण किरदार निभाते हुए नजर आ रहे हैं ।",11,20,-9,54,103,-49
खिलाड़ियों के लिए बल्लेबाजी और क्षेत्ररक्षण करते हुए 40-45 मिनट तक पानी नहीं पीना काफी मुश्किल था।,उन्होंने बताया कि यह इमारत खतरनाक इमारत श्रेणी में आती थी और बहुत पुरानी हो चुकी थी।,17,17,0,98,84,14
"लेकिन, वहाँ एक विशाल इच्छा है",डिफ़ॉल्ट के- ऑप्टी गपशप विंडोName,6,5,1,29,33,-4
उन्होंने कहा कि इस बारे में सरकार को फैसला करना है।,जनजातिय विषयों पर कार्यशाला/ सम्मेलन/ प्रदर्शनी आदि का आयोजन,11,9,2,51,60,-9
मैं इस नई चुनौती के लिए उत्साहित हूं।,"नोएल टाटा, रतन टाटा के सौतेले भाई हैं।",8,8,0,37,38,-1
पुलिस ने शव को बरामद कर पोस्टमार्टम के लिए सेक्टर 16 के जनरल अस्पताल की मोर्चरी में रख कर तफ्तीश जारी रखी।,पाकिस्तान के पूर्व लेजेंड गेंदबाज वसीम अकरम को उनकी गेंदबाजी के लिए हमेशा याद किया जाता है.,22,17,5,106,91,15
आतंकवादी संगठन इस्लामिक स्टेट ने कथित तौर पर इस लोकप्रिय रेस्त्रां में हमले की जिम्मेदारी ली हैं जहां विदेशी नागरिक अक्सर आते हैं।,00 (सिर्फ एक रुपया ) वार्षिक (बिना किसी प्रीमियम के ) के मामूली किराए पर लीज आधार पर तथा विषय से संबंधित सरकार की मौजूदा नीति की शर्तों पर अंतरित होनी है।,23,32,-9,130,154,-24
एक देश के रूप में हम जिन चुनौति‍यों का सामना कर रहे हैं वे अधिक जटिल हो गई हैं:-,उन्होंने कहा कि अन्य लोगों को भी इस तरह के कार्य करने चाहिए।,19,13,6,80,60,20
बैंक ने एमसीएलआर रेट (MCLR) में 0.05 फीसदी की कटौती की है।,"उन्होंने ट्वीट किया, “सभी भारतवासियों को गणतंत्र दिवस की बधाई।",12,10,2,58,62,-4
"हालांकि, इसके साथ ही उन्होंने कहा कि सरकार को और अधिक करना चाहिए था।",दो लोगों की जान भी गई है।,14,7,7,68,25,43
"सुशासन, लोगों द्वारा अपने अधिकारों को प्रयोग करने के लिए जरूरी है।",उन्नाव गैंगरेप केस: बीजेपी विधायक कुलदीप सिंह सेंगर मामले पर सीएम योगी का बड़ा बयान,12,15,-3,66,83,-17
"तो, जो कुछ भी एक साथ रखा जाता है।",वैसे यह धन आता कहां से है?,9,7,2,33,26,7
कुलभूषण जाधव को राजनयिक पहुंच देने के मामले में झुका पाकिस्तान,(छः) यदि वह अध्यक्ष के क्षेत्राधिकार के भीतर आने वाले किसी मामले से संबंधित हो।,11,15,-4,62,79,-17
जम्‍मू कश्‍मीर को छोड़कर सभी राज्‍यों/संघ शासित प्रदेशों ने राज्‍य वस्‍तु और सेवा कर (एसजीएसटी) अधिनियम को मंजूरी दे दी है,राकांपा के प्रवक्ता नवाब मलिक ने पहले कहा कि महाराष्ट्र के मुख्यमंत्री देवेंद्र फडणवीस को फ्लोर टेस्ट पर जोर देने के बजाय इस्तीफा दे देना चाहिए।,21,26,-5,122,144,-22
वाराह ने चुराई हुई मिट्टी शरीर पर पोल ली और ओड़िसाः लोक-संस्कृति और साहित्य पानी में कूद पड़ा।,जनता को पीने का पानी भी उपलब्ध नहीं हो पा रहा है।,18,12,6,94,49,45
इसमें करीब 100 डाक्टरों ने भाग लिया।,इससे खून साफ होता है।,7,5,2,36,21,15
मारुति के सभी एस-सीएनजी वाहन डुअल इंटरडिपेंडेंट ECUs (इलेक्ट्रॉनिक कंट्रोल यूनिट) और इंटेलिजेंट इंजेक्शन सिस्टम से लैस हैं।,"बंदर को केला खिलाएं, आपकी सभी समस्याएं दूर होंगी।",18,9,9,123,49,74
इस मौके पर एक सांस्कृतिक कार्यक्रम का आयोजन किया गया।,"भेदभाव, भ्रष्टाचार के खात्मे को भाजपा वचनबद्ध",10,7,3,53,45,8
हाई पावर कमेटी की सहमति,‘हम ऐसी घटनाओं की पूरी तरह से निंदा करते हैं.,5,10,-5,23,45,-22
उनमें से ज्यादातर कंपनियां वैश्विक दिग्गज बन गईं।,"""उन्होंने कहा, """"यह एक उत्कृष्ट कदम है।""",8,7,1,49,40,9
यह समय आपकी सन्तान के लिए भी फेवरेबल रहेगा।,उन्होंने 101 गेंदों पर सात चौकों की मदद से अपना अर्धशतक पूरा किया।,9,13,-4,43,66,-23
विवाद के बीच दिल्ली पुलिस ने जेएनयू छात्र संघ के अध्यक्ष कन्हैया कुमार को गिरफ्तार कर लिया है ।,"सीपीजीआरएएमएस के लिए मोबाइल ऐप डीएआरपीजी के नवीन पहलों में से एक है, जो नागरिकों के शिकायतों को दूर करने में विभाग का सबसे महत्वोपूर्ण कदम है।",19,27,-8,95,142,-47
"“ ये मौतें न्यूरोजेनिक शॉक के कारण हुई जब लटकने के कारण दिमाग में खून की सप्लाई रुक गई,” उन्होंने जोड़ा.","स्कूलों, पंचायत कार्यालयों, स्वास्थ्य केन्द्रों, डिस्पेंसरियों, सामुदायिक केन्द्रों आदि जैसे सार्वजनिक स्थानों में बिजली की सुविधा उपलब्ध करा दी गई हो।",21,21,0,104,151,-47
सीरीज का पहला मैच बारिश की वजह से रद्द हो गया था।,"कांग्रेस प्रवक्ता अभिषेक मनु सिंघवी ने यहां संवाददाताओं से कहा, ‘राज्यपाल के कार्यालय से हमारा",12,15,-3,49,94,-45
नया मोशन मोड के बारे में कहा गया है कि यह यूजर्स को फोरग्राउंड और ब्‍लरी बैकग्राउंड में मूविंग सब्‍जेक्‍ट के साथ हाई-क्‍वालिटी एक्‍शन शॉट्स को कैप्‍चर करने की अनुमति देता है।,इस घटनाक्रम पर पश्चिम बंगाल बीजेपी अध्यक्ष और लोकसभा सदस्य दिलीप घोष ने कहा कि यह टीएमसी की ‘हताशा’ को दर्शाता है।,32,22,10,174,114,60
तो संसार के धनी देशों को पहचानना चाहिए उन देशों की मानवता और उदारता को जो इतने सारे शरणार्थियों के मेज़बान हैं।,प्रधानमंत्री श्री नरेन्‍द्र मोदी ने दिशा सूचक उपग्रह आईआरएनएसएस-1 सी के सफल प्रक्षेपण पर इसरो वैज्ञानिकों को बधाई दी,22,19,3,111,116,-5
"जो स्वयं पहले से ही सार के दुःख-सुख से निर्लिप्त हो गया है, यह सामान्यतः ज्ञान मार्ग कहा जाता है, जिसे अपने स्वयं के प्रयत्न द्वारा ही चलकर तय करना होता है।","केंद्र द्वारा प्रायोजित आईसीडीएस का संचालन महिला व बाल विकास मंत्रालय द्वारा किया जाता है और इसे छह वर्ष से कम आयु के बच्‍चों, गर्भवती महिलाओं व स्‍तनपान कराने वाली माताओं के समग्र विकास के लिए लागू किया गया है।",32,40,-8,156,211,-55
राफेल के हथियार और एवियनिक्स के कई उन्नयन 2018 में पेश किए जाने की योजना है।,"‘मुझे विदेशी कहा जाता है, लेकिन मुझे लगता है कि मैं इसी मिट्टी की बेटी हूं.",16,16,0,76,75,1
नई दिल्लीः कांग्रेस महासचिव प्रियंका गांधी वाड्रा समेत अन्य कांग्रेस नेताओं को पुलिस ने हिरासत में लिया।,खेलगंमतने ग्नूकॅप यह विद्युत प्रतिकृती का उपयोग किया है. ग्नूकॅप के बारे में ज्यादा जानकारी http:// geda. seul. org/tools/gnucap/ये वेबसाईटपर देखने मिलेगी,17,22,-5,104,154,-50
रीढ़ की हड्डी के सहारे सोना यह शरीर रचना संबंधी मानव की शारिरीक स्थिति है।,"""[कृपया उद्धरण जोड़ें] कुछ विद्वानों का कहना है कि """"मालदीव"""" नाम संस्कृत शब्द माँलाद्विपा (द्मालावीप) मतलब """"द्वीपों का हार"""" से उत्पन्न हुआ है।""",15,23,-8,74,146,-72
"प्रति वर्ष पूरी तरह परिष्कृत 1,09,000 टन गैसालिन निकालने तथा 33,000 टन बेंजीन निर्माण करने के लिए यह बनायी गयी है.",बिना लक्षण वाले Covid-19 मरीजों की प्रतिरक्षा प्रतिक्रिया कमजोर हो सकती है : स्टडी,21,14,7,114,82,32
कर्नाटक में शहरी स्थानीय निकाय चुनावों में कांग्रेस ने सबसे ज्यादा सीटें जीती हैं.,पीएम मोदी की लोकप्रियता में इजाफा,14,6,8,82,33,49
किसी ने भी उसे छुड़वाने की जहमत नहीं उठाई।,ऐसा ही एक मामला सामने आया है।,9,7,2,41,29,12
">> गोरा ने सुचरिता के मन को आकृष्ट कर लिया था, शायद इसीलिए वह आज हिन्दू मत से विवाह होने की बात पर इतना आवेश प्रकट कर रही थी।","इस सम्मेलन का सह-आयोजन भारत और स्वीडन ने किया है. इस सम्मेलन में सभी नॉर्डिक देश हिस्सा ले रहे हैं. इसमें डेनमार्क, फिनलैंड, आइसलैंड, नॉर्वे तथा स्वीडन के प्रधानमंत्री शामिल होंगे.",29,31,-2,125,180,-55
"देसाई ने कहा, 'हम अगले बजट पर होने वाली बैठक में इस मुद्दे पर चर्चा करेंगे।",संकीर्ण मानसिकता के अनेक रूप हैं:,16,6,10,75,33,42
यह विधेयक पूर्वोत्तर राज्यों और देश के हित में है।,कैमरा की बात करें तो फोन के पिछले हिस्से में 0.3MP का रियर कैमरा दिया गया है।,10,17,-7,50,77,-27
"कोई कुछ नहीं कहना चाहता, कुछ नहीं बताना चाहता.",इसमें सबसे अधिक संख्या में लोग इंडोनेशिया से आए थे।,9,10,-1,46,51,-5
"आप बाहर ले गया कि एक विशेष जहाज, और अभी बाकी है.. .. छोड़ दिया?","सुभाष बराला, प्रदेश भाजपा अध्यक्ष",15,5,10,63,33,30
"इस साल राज्य में गन्ने का रकबा करीब 84,000 हेक्टेयर है, जबकि पिछले साल यह फसल 80,000 हेक्टेयर जमीन में लगाई गई थी।",पहले आए इसी तरह के तूफानों की तुलना में जानमाल का नुकसान कम हुआ है यद्यपि तूफान के धरती से टकराने की गति काफी अधिक (95 नॉट) थी,23,28,-5,114,126,-12
पॉलिप्लॉइड में चार से अधिक कुलक भी हो सकते हैं।,उनकी जिंदगी की कहानी अविश्वसनीय है।,10,6,4,47,35,12
महिलाओं में शिक्षा को बढ़ावा देना है.,राज्य शिक्षा विभाग विद्यार्थियों की सुरक्षा के लिए 73 लाख फेस मास्क का वितरण करेगा।,7,15,-8,37,83,-46
"""""""उन्होंने कहा, """"""""यह निजता का घोर हनन है.""""""",मुझे सीबीआइ और अदालत पर पूरा भरोसा है।,8,8,0,47,38,9
मतदान करने के लिए आवश्यक नहीं है कि वोटर पहचान पत्र ही साथ हो।,बावजूद इस समस्या का समाधान नहीं हो पा रहा है।,14,10,4,62,45,17
हालांकि उन्होंने यह नहीं बताया कि वह किस सीट से चुनाव लड़ेंगे।,हैती के अधिकारियों ने 51 लोगों के मौत होने की पुष्टि की है।,12,13,-1,62,59,3
एक्टर की इस उपलब्धि से जो शख्स सबसे ज्यादा खुश था वो है उनकी पत्नी ट्विंकल खन्ना।,कांग्रेस पर मुसलमानों के खून के धब्बे हैंः सलमान खुर्शीद,17,10,7,81,56,25
यह दिन स्किल इंडिया मिशन के शुभारंभ की 5वीं वर्षगांठ का प्रतीक है।,हाईकोर्ट ने सभी आरोपियों को रिहा कर दिया था।,13,9,4,66,44,22
मुझे पूरा विश्वास है कि मैं आज रात तक अपने गंतव्य तक पहुंच जाऊंगा।,क्या आपको ये स्मार्टफोन खरीदना चाहिए?,14,6,8,66,37,29
गेंद जमीन में प्राय: डेढ़ मीटर गहराई पर गाड़ Zदी जाती है. छोटे-से प्राणी को यह काम करने के लिए बेहद धैर्य रखना पड़ता है और ऊर्जा खर्च करनी पड़ती है.,इसकी ईंटों पर प्लस्तर किया हुआ है तथा अंड को एक बड़ी माला से सजाया गया है-जिस पर की गई गचकारी देखने योग़्य है.,31,24,7,148,110,38
सीबीआई ने अदालत में कहा था कि दोनों के संबंधों को लेकर इंद्राणी और पीटर खुश नहीं थे.,परीक्षा के परिणाम 21 सितंबर 2017 को जारी किए गए थे।,18,11,7,84,51,33
यहोवा को कभी मत भूलिए,यह उसका भारत में पहला सम्मेलन है।,5,7,-2,21,33,-12
"मैं, इस विश्व कृषि-वानिकी कांग्रेस के संयुक्त आयोजन के लिए भारतीय कृषि अनुसंधान परिषद, विश्व कृषि-वानिकी केंद्र और भारतीय कृषि-वानिकी सोसायटी को बधाई देता हूं।",जल संसाधन मंत्री डीके शिवकुमार और टूरिज्म मंत्री एसआर महेश ने इसको लेकर अधिकारियों के साथ बैठक की है।,25,19,6,159,101,58
उन्होंने बुधवार को कहा कि भारत ‘गहरी आर्थिक सुस्ती’ में है.,"""अभी आपकी अवस्थिति """"कार्यालय से बाहर"""" है. क्या आप अपनी अवस्थिति को """"कार्यालय में"""" के रूप में परिवर्तित करना चाहेंगे?""",11,20,-9,59,121,-62
जिसके बाद उसने परिवारवालों को इस बात की जानकारी दी.,इसके अलावा इसमें ट्रेलर में सोनाक्षी भी नज़र आई हैं।,10,10,0,51,52,-1
"उन्होंने, आजादी के साथ किसानों के मुद्दों को जोड़ने का काम किया",अंतर्राष्ट्रीय मंच पर भी भारत और नॉर्वे का आपसी सहयोग बहुत मजबूत है।,12,13,-1,62,68,-6
बेशक वह हमारे (ख़ालिस) ईमानदार बन्दों में थे,यह दोनों नेताओं के बीच दूसरी अनौपचारिक बैठक है।,8,9,-1,44,47,-3
फिल्म में उनके साथ सिद्धार्थ मल्होत्रा भी हैं।,गुफा मंदिर का निर्माणकाल चालुक्यों के समय में सातवीं शताब्दी का मध्यकाल ठहराया जा सकता है।,8,16,-8,46,90,-44
प्रत्येक दल में अधिकतम 60 यात्री होंगे।,मैंने उससे पूछा कि यह कौन - सा चर्च है ।,7,11,-4,39,40,-1
एक सरकारी अधिकारी ने बताया कि करीब-करीब सालभर शुष्क रहने वाले मराठवाड़ा क्षेत्र के इस जिले में वैसे तो मॉनसून के दौरान बहुत कम बारिश हुई लेकिन पिछले एक सप्ताह में यहां खूब वर्षा हुई है।,"'दैनिक भास्‍कर' में इंटरव्‍यू में डोवाल के हवाले से लिखा गया, '15 जनवरी को लाहौर में होने वाली इंडो-पाक सेक्रेटरी लेवल मीट कैंसिल कर दी गई है।",36,27,9,185,142,43
"बच्चों को फल का दान करें , आपके जीवन में खुशियों का आगमन होगा |",अनुष्का शर्मा की अब एक और तस्वीर वायरल हो रही हैं।,15,11,4,63,50,13
उपनिषद् इन चार भागों में है।,आर्थिक सहयोग के क्षेत्र इस प्रकार हैं:-,6,7,-1,28,39,-11
(सी) एमएसई के स्वामित्व वाले या महिलाओं द्वारा संचालित अथवा पूर्वोत्तर क्षेत्र(एनईआर)के लिए 75% से 80% से गारंटी कवर की बढ़ोतरी.,सूचना के द्वारा किसी भी सार्वजनिक संस्था के कार्य में पारदर्शिता व उत्तरदायित्व के प्रचार के लिए संसद ने सूचना अधिकार 2005 को लागू किया।,21,25,-4,128,136,-8
सामान्यतः दिखाई देने वाले लक्षण निम्नलिखित हैंः,साथ ही आपको दिनभर एनर्जेटिक और फ्रश भी बनाए रखने में मददगार होती हैं।,7,14,-7,47,69,-22
इस बीच परिस्थिति तो प्रतिदिन बदलती जा रही है और आज जो कुछ कहा जाता है वह कल पुराना पड़ जाता है।,धनतेरस के दिन सोना या अन्य मूल्यवान वस्तुओं को खरीदने का शुभ समय,22,13,9,95,64,31
यह एक बहस का विषय हो सकता है।,ऋण प्रबन्धन शुल्क की राशि ऋण की प्रकृति और मात्रा पर निर्भर करती है।,8,14,-6,29,68,-39
उन्होंने प्रियंका चोपड़ा की फोटो को अद्भुत बताया है.,रैनबैक्सी के पूर्व प्रमोटर मलविंदर-शिविंदर सिंह के ठिकानों पर ED का छापा .,9,13,-4,52,74,-22
"असम के मंत्री ने कहा कि राज्य में डिटेंशन कैंप गुवाहाटी कोर्ट के आदेश के कारण हैं, न कि केंद्र द्वारा लिए गए किसी फैसले के कारण।",एएसआई सुरेश कुमार ने बताया कि पुलिस ने आरोपियों के खिलाफ मामला दर्ज कर जांच शुरू कर दी है।,27,19,8,128,90,38
"फिर गायों के पैर धोते हैं, उनके सींगों और खुरों पर तेल मलते हैं और कभी-कभी उन्हें फूलों से भी सजाते हैं।",बीजेपी महिला मोर्चा ने इसकी शिकायत चुनाव आयोग से करते हुए उनकी चुनावी सभाओं पर रोक लगाने की मांग की थी.,22,21,1,104,103,1
"तुम्हीं उसे क्रूस पर चढ़ाना चाहते हो, मैं नहीं, इस पर गौर करो. मैं इस आदमी के खून से निर्दोष हूँ.",हमें न्यायपालिका और मध्यस्थता तंत्र के प्रयासों को पूरा करने के तरीकों और साधनों पर विचार-विमर्श करना चाहिए।,21,18,3,97,108,-11
सरकारी सूत्रों ने इस बात से इनकार किया कि राज्यसभा में अटके इस विधेयक को लेकर अध्यादेश जारी हो सकता है।,प्रधानमंत्री के प्रधान सचिव पीके मिश्रा की अध्यक्षता में रविवार को हुई उच्च स्तरीय बैठक में यह फैसला हुआ।,21,19,2,103,105,-2
"भारी भूस्खलन के कारण जम्मू-श्रीनगर राष्ट्रीय राजमार्ग बंद, हजारों वाहन फंसे",घटना के बाद स्थानीय पुलिस मौके पर पहुंची और फिलहाल मामले की जांच कर रही है.,11,16,-5,75,75,0
"माइक्रोसॉफ्ट में 7,800 नौकरियों पर चलेगी कैंची",अनेक क्षेत्रो में हिंदुओं को योगदान उतना ही महत्वपूर्ण है जैसा मुसलमानों का।,7,13,-6,46,76,-30
"भाजपा ने कहा कि कांग्रेस व अन्य दलों का विरोध उसी प्रकार का है, जिस प्रकार उसने नोटबंदी का विरोध किया था।",इसका मतलब है कि हर टीम खिलाड़ियों को खरीदने के लिए 80 करोड़ रुपये खर्च कर सकती है।,22,18,4,105,82,23
यह एक महीने से कम और लगभग छह महीने तक लंबी भी हो सकती है।,देश में कोरोना वायरस मरीजों के स्‍वस्‍थ होनेे दर बढ़कर 41 प्रतिशत हुई,15,13,2,57,69,-12
तुम उनसे इसका कोई बदला भी नहीं माँगते। यह तो सारे संसार के लिए बस एक अनुस्मरण है,इस पोस्ट पर लोगों की अलग-अलग तरह की प्रतिक्रियाएं आईं.,18,10,8,80,54,26
बाहरी हिस्से में एक्रिलिक या रबड़ का अस्तर लगा होता है.,लेकिन कुछ में सफलता मिलती है कुछ में नहीं मिलती है।,11,11,0,55,51,4
"ट्रक ने ट्रैक्टर टेलर में मारी ठोकर, चालक की मौत","""वह अतिवदी लोगों के सम्पर्क में लगता है।",10,8,2,48,40,8
"कुंभ मेला ( KUMBH MELA ) हिंदुओं द्वारा मनाया जाने वाला मेला है , जिसमें कई तादार में हिंदू एक पवित्र नदी पर इकठे होते हैं और उस नदी में स्नान करते हैं.","भारतीय वायु सेना की ओर से चलाये जा रहे बड़े युद्ध अभ्‍यास ‘’गगनशक्ति 2018’’ के तहत लडाकू विमानों, हेलीकॉप्‍टरों और माल वाहक विमानों को एडवांस लैंडिंग ग्राउंड (एएलजी) पर तैनात किया गया है",33,33,0,152,186,-34
"यह, चीन की महान दीवार , कहानियों और प्रतिबिंब (न्यूयॉर्क: Schocken किताबें, 1946) में छपी थी।",जाले ब्लॉक में 95 गाँव और 26 पंचायत शामिल हैं।,16,10,6,93,46,47
"""वह दोनों दोस्त बन जाते हैं।",अतिरिक्त सैन्य बल तैनात किए जा चुके हैं।,6,8,-2,28,40,-12
भाजपा के नेतृत्व वाली एनडीए सरकार ने विपक्ष के लाये अविश्वास प्रस्ताव पर हुई वोटिंग में 325 वोट हासिल किये जबकि विपक्ष के पक्ष में 126 वोट पड़े।,श्री जेटली ने यूरेनियम की आपूर्ति के लिए नागरिक नाभिकीय सहयोग पर प्रशासनिक व्‍यवस्‍था करने के लिए ऑस्‍ट्रेलिया के विदेश मंत्री को धन्‍यवाद दिया।,28,24,4,143,144,-1
स्थानीय खबरों के अनुसार दोनों बच्चे लंदन के फिन्सबरी पार्क के पास विल्बरफोर्स रोड पर स्थित एक इमारत की सबसे उपरी मंजिल पर अपनी रोमानियाई मां क्रिस्टिनेला और भारतीय मूल के पिता के साथ रहते थे।,"हाल के दिनों में, राहुल ने शरद पवार और लालू यादव जैसे नेताओं के साथ बातचीत की शुरुआत की है लेकिन अभी भी उन्हें क्षेत्रीय दलों के प्रति अपनी नीतियों में बदलाव करना पड़ेगा।",36,34,2,191,169,22
उसके साथ मारपीट की और इस बारे में किसी को बताने पर उसे जान से मारने की धमकी दी।,स्टेन ने शेन वाटसन और सुरेश रैना को आउट कर पवेलियन वापस भेज दिया।,19,14,5,79,65,14
यह स्मार्टफोन ब्लैक और ब्लू दो कलर वेरिएंट में दस्तक दे सकता है।,यामी गौतम एक भारतीय एक्ट्रेस हैं।,13,6,7,64,33,31
सुप्रीम कोर्ट के फैसले के बाद बीजेपी ने राहुल गांधी पर जमकर हमला बोला।,"निवासियों के घरेलू सामान जैसे कि गद्दे, कंबल, बर्तन पकाने के बर्तन और फर्नीचर उनके घरों के बाहर लॉन पर रखे हुए थे।",14,23,-9,70,114,-44
सीरीज का पहला मैच मुंबई में खेला जायेगा।,गृहराज्य मंत्री ने कहा राज्यों को जारी होगी एडवाइजरी,8,9,-1,40,52,-12
"उन्होंने कहा कि माकपा कश्मीर स्थिति, चीन और साथ ही पाकिस्तान के साथ सीमा पर विवाद और कृषि संकट के मुद्दे भी उठाएगी।","जम्मू कश्मीर लिब्रेशन फ्रंट के नेता यासीन मलिक, शबीर शाह, जफर भट और मसर्रत आलम के घरों पर भी जांच की है।",23,22,1,115,104,11
मैं किसी भी तरह के बलिदान के लिए तैयार हूं।,आइए एक नजर डालते हैं आंकड़ों पर .,10,8,2,43,33,10
तुम्हारा माबूद (यक़ीनी) एक ही है,माप आमतौर पर काठ का रीढ़ और कूल्हे के ऊपरी भाग के ऊपर किया जाता है।,6,16,-10,31,67,-36
"एक और ट्विटर यूजर ने लिखा, ‘‘आपके कैरियर की आकांक्षाओं का पीछा करते हुए आपके साथ भी यही हुआ।",लेकिन चुनाव नतीजे गठबंधन की छोटी पार्टी के लिए ऐतिहासिक पटखनी भी साबित हुए.,19,14,5,92,75,17
"इसके बावजूद, कंपनी बाजार की वसूली और बिक्री में वृद्धि के बारे में सकारात्मक लगती है।",15 मई ग्रेगोरी कैलंडर के अनुसार वर्ष का 135वॉ (लीप वर्ष मे 136 वॉ) दिन है।,16,16,0,85,74,11
दमकल विभाग के अधिकारियों ने इसकी जानकारी दी ।,"""वह आदमी सबको सुनाने के लिए चिल्लाया ।",9,8,1,45,38,7
"जेठमलानी, अटल बिहारी वाजपेयी की सरकार के समय कानून मंत्री और शहरी विकास मंत्री रहे हैं।",इसके बाद मौके पर पहुंची पुलिस को हालात को नियंत्रित करने के लिए लाठीचार्ज और आंसू गैस के गोले छोड़ने पड़ गए.,16,22,-6,87,108,-21
उनके शब्दों को याद करें : ‘बंदूक से कोई समस्या हल नहीं हो सकती।,इसके बाद कर्मचारी नेताओं के खिलाफ केस दर्ज किया गया।,14,10,4,63,52,11
महान हावर्ड जोन्स के शब्दों में...,वित्त सचिव अजय भूषण पांडेय ने इस संबंध में संकेत दिए हैं।,6,12,-6,34,57,-23
फिर उठकर भीतर कक्ष में चले गए।,सात लोगों के खिलाफ एफआईआर दर्ज की गई है।,7,9,-2,30,40,-10
पेट्रोल-डीजल की कीमतों में लगातार वृद्धि होती जा रही है.,इस फोन का सबसे खास फीचर इसका 25MP का सेल्फी कैमरा बताया जा रहा है।,10,15,-5,56,66,-10
हम और विवरण का इंतजार कर रहे हैं।,मेन्स एग्जाम 1750 मार्क्स और इंटरव्यू 275 मार्क्स का होता है।,8,11,-3,33,61,-28
दूषित जल का सर्वाधिक सामान्य कारण है इसमें मनुष्य द्वारा मल विसर्जन।,जम्मू कश्मीर में ब्लॉक विकास परिषद (बीडीसी) के चुनाव शांतिपूर्ण मतदान,12,11,1,68,69,-1
जिसके बाद पुलिस और एंबुलेंस मौके पर पहुंची और चार घायलों को अस्पताल पहुंचाया गया।,"प्राचीन समय में, उसने कई अवसरों पर अपने लोगों को छुटकारा दिलाया ।",15,13,2,81,65,16
शेष चार श्लोकों में से एक आसफविलास में भी मिलता है।,राज्य में इस समय मुख्यमंत्री रघुवर दास की अगुवाई वाली भाजपा की सरकार है.,11,14,-3,51,72,-21
पॉल के परिवार ने उसके दाह संस्कार की तस्वीरें उसके दोस्तों और संबंधियों के लिए उसके अकाउंट पर पोस्ट कीं।,श्री मोइली ने ईराक के साथ बेहतर द्विपद्क्षीय संबंधों को उजागर करते हुए कहा कि ईराक भारत को कच्‍चे तेल की आपूर्ति करने वाला दूसरा सबसे बड़ा देश है।,20,29,-9,104,145,-41
माकपा के 25 साल के लंबे शासन के बाद पिछले महीने भाजपा राज्य विधानसभा चुनाव में भारी जीत के बाद सत्ता में आयी है,सहनशील होने का यह मतलब हरगिज़ नहीं कि हम दूसरों की गलतियों को देखकर चुप रहें या उन्हें अनदेखा कर दें ।,24,22,2,111,102,9
"स्टेप 3. फिर एक पीडीएफ फ़ाइल खुलेगी, उसमें अपना रोल नंबर सर्च कर लें।",कांग्रेस अध्यक्ष सोनिया गांधी ने अन्नाद्रमुक प्रमुख जयललिता को तमिलनाडु विधानसभा चुनाव में उनकी पार्टी की जबर्दस्त जीत पर फोन कर बधाई दी है।,14,24,-10,69,140,-71
ग्रामीणों ने पुलिस को सूचना देने के .,फाइनल में भारतीय जोड़ीदारों का सामना मलेशिया के सून हुआत गोह और शेवोन जेमी लाए के साथ होगा।,8,18,-10,37,91,-54
"रुआपेहू पर्वत (Mount Ruapehu), जिसे केवल रुआपेहू भी कहा जाता है, न्यूज़ीलैण्ड के उत्तर द्वीप के ताऊपो ज्वालामुखीय क्षेत्र के दक्षिणी छोर पर स्थित एक सक्रीय मिश्रित ज्वालामुखी (स्ट्रैटोवोल्केनो) है।","निलंबित किए गए कांग्रेस के इन सदस्यों में गौरव गोगोई, टी एन प्रतापन, डीन कुरियाकोस, राजमोहन उन्नीथन, बैनी बहनान, मणिकम टेगोर और गुरजीत सिंह औजला शामिल हैं।",30,27,3,197,155,42
